prefix	name	homepage	description
hdl	Handle System Identifier	http://www.handle.net	
lsid	Life Sciences Identifier	https://www.lsid.info/	
purl	Persistent URL	http://purl.org/	
repec	Research Papers in Economics	http://repec.org/	
rfc	Internet Standard -- IETF Request for Comments	https://www.ietf.org/	
ror	Research Organization Registry	http://ror.org	
url	Uniform Resource Locator	https://www.w3c.org/	
urn	Uniform Resource Name	https://tools.ietf.org/html/rfc2141	Uniform Resource Names (URNs) are intended to serve as persistent, location-independent, resource identifiers.
